0 kongzi 118 425613 851239
 0.0966   137    5   3  天 下 之
 0.0670    57    9   5  臣 若 水 通 曰
 0.0529    75    5   3  天 地 之
 0.0479    68    5   3  孔 子 曰
 0.0465    66    5   3  先 生 曰
 0.0458    65    5   3  朱 子 曰
 0.0437    62    5   3  聖 人 之
 0.0437    31   11   6  臣 若 水 通 曰 此
 0.0423    60    5   3  而 不 能
 0.0423    60    5   3  而 不 知
 0.0416    59    5   3  而 已 矣
 0.0409    58    5   3  也 臣 按
 0.0388    55    5   3  先 王 之
 0.0345    49    5   3  如 何 曰
 0.0331    47    5   3  不 足 以
 0.0317    45    5   3  諸 侯 之
 0.0303    43    5   3  未 嘗 不
 0.0296    42    5   3  孟 子 曰
 0.0296    42    5   3  天 子 之
 0.0275    39    5   3  鿡 物 之
 0.0275    39    5   3  鿡 代 之
 0.0268    38    5   3  鿡 年 之
 0.0254    18   11   6  也 臣 若 水 通 曰
 0.0247    35    5   3  之 道 也
 0.0240    34    5   3  古 人 之
 0.0240    34    5   3  亦 不 可
 0.0233    33    5   3  程 子 曰
 0.0233    33    5   3  君 子 之
 0.0226    32    5   3  而 天 下
 0.0226    32    5   3  學 者 之
 0.0219    31    5   3  公 鿡 年
 0.0211    30    5   3  朋 友 之
 0.0211    30    5   3  子 之 言
 0.0207    22    7   4  也 朱 子 曰
 0.0204    29    5   3  朱 熹 曰
 0.0204    29    5   3  則 不 能
 0.0204    29    5   3  先 生 之
 0.0197    28    5   3  鿡 分 鿡
 0.0197    28    5   3  者 謂 之
 0.0190    27    5   3  於 天 下
 0.0188    20    7   4  然 後 可 以
 0.0183    26    5   3  者 也 故
 0.0183    26    5   3  文 王 之
 0.0183    26    5   3  天 理 之
 0.0183    26    5   3  以 至 於
 0.0183    26    5   3  之 所 謂
 0.0183     6   25  13  父 子 有 親 君 臣 有 義 夫 婦 有 别 長
 0.0183     3   51  26  天 地 之 常 以 其 心 普 鿡 物 而 無 心 聖 人 之 常 以 其 情 順 鿡 事 而 無 情
 0.0179    19    7   4  孟 子 所 謂
 0.0176    25    5   3  黄 鐘 之
 0.0176    25    5   3  何 也 曰
 0.0169    24    5   3  所 謂 鿡
 0.0169    24    5   3  也 君 子
 0.0169    24    5   3  不 能 無
 0.0169    24    5   3  不 知 其
 0.0169     8   17   9  於 喜 怒 哀 樂 未 發 之 前
 0.0160    17    7   4  臣 良 勝 曰
 0.0150    16    7   4  生 之 謂 性
 0.0150    16    7   4  天 下 之 理
 0.0150    16    7   4  天 下 之 人
 0.0150    16    7   4  克 己 復 禮
 0.0148    21    5   3  臣 按 此
 0.0148    21    5   3  子 所 謂
 0.0148    21    5   3  也 是 故
 0.0146     2   61  31  天 地 之 常 以 其 心 普 鿡 物 而 無 心 聖 人 之 常 以 其 情 順 鿡 事 而 無 情 故 君 子 之 學
 0.0141    20    5   3  為 天 下
 0.0141    20    5   3  於 孔 子
 0.0141    20    5   3  故 君 子
 0.0141    15    7   4  聖 人 所 以
 0.0141    15    7   4  氣 質 之 性
 0.0141    12    9   5  者 日 月 㑹 於
 0.0141     5   23  12  君 臣 父 子 兄 弟 夫 婦 朋 友 之 倫
 0.0134    19    5   3  人 之 心
 0.0134    19    5   3  之 謂 也
 0.0132    14    7   4  聖 人 之 道
 0.0132    14    7   4  聖 人 之 言
 0.0132    14    7   4  精 義 入 神
 0.0132    14    7   4  是 以 君 子
 0.0132    14    7   4  戒 慎 恐 懼
 0.0132     4   27  14  能 於 怒 時 遽 忘 其 怒 而 觀 理 之 是 非
1 leishu 118 425584 851203
 0.1262   179    5   3  州 刺 史
 0.0742    79    7   4  鿡 年 鿡 月
 0.0526    32   13   7  第 鿡 卷 設 官 部 鿡
 0.0472    67    5   3  天 下 之
 0.0395    56    5   3  給 事 中
 0.0338    48    5   3  淮 南 子
 0.0303    43    5   3  部 尚 書
 0.0296    42    5   3  白 居 易
 0.0291    31    7   4  元 年 鿡 月
 0.0289    41    5   3  天 地 之
 0.0261    37    5   3  聖 人 之
 0.0261    37    5   3  後 漢 書
 0.0240    17   11   6  第 鿡 卷 地 部 鿡
 0.0235    10   19  10  在 位 鿡 年 夀 鿡 改 元 者 鿡
 0.0233    33    5   3  大 將 軍
 0.0226    32    5   3  鿡 餘 人
 0.0226    24    7   4  鿡 年 正 月
 0.0226    24    7   4  户 部 侍 郎
 0.0226    24    7   4  御 史 中 丞
 0.0226    24    7   4  中 書 舍 人
 0.0226    16   11   6  也 太 𤣥 經 第 鿡
 0.0214    13   13   7  部 郎 中 員 外 郎 附
 0.0211     9   19  10  在 位 鿡 年 僭 號 改 元 者 鿡
 0.0207    22    7   4  御 史 大 夫
 0.0207    22    7   4  在 位 鿡 年
 0.0204    29    5   3  部 郎 中
 0.0204    29    5   3  節 度 使
 0.0197    21    7   4  鿡 月 鿡 日
 0.0190    27    5   3  為 廷 尉
 0.0190     3   53  27  鿡 職 任 鿡 民 鿡 曰 鿡 農 生 鿡 榖 鿡 曰 園 圃 毓 草 木 鿡 曰 虞 衡 作 山 澤 之
 0.0188    20    7   4  吕 氏 春 秋
 0.0183    26    5   3  鿡 年 之
 0.0183    26    5   3  為 司 空
 0.0183    26    5   3  先 王 之
 0.0181     7   21  11  在 位 鿡 年 僭 號 改 元 者 鿡 太
 0.0176    25    5   3  鿡 年 鿡
 0.0176    25    5   3  陽 太 守
 0.0176    25    5   3  為 太 尉
 0.0176    25    5   3  大 司 馬
 0.0169    18    7   4  部 員 外 郎
 0.0169    18    7   4  西 京 雜 記
 0.0169    18    7   4  焦 氏 易 林
 0.0169    18    7   4  為 給 事 中
 0.0169    18    7   4  春 渚 紀 聞
 0.0169    18    7   4  日 月 星 辰
 0.0162    23    5   3  郡 太 守
 0.0162    23    5   3  皇 太 子
 0.0162    23    5   3  史 記 曰
 0.0155    22    5   3  鿡 時 之
 0.0155    22    5   3  為 尚 書
 0.0155    22    5   3  員 外 郎
 0.0155     6   21  11  在 位 鿡 年 僭 號 改 元 者 鿡 建
 0.0150    16    7   4  明 堂 月 令
 0.0150    16    7   4  散 騎 常 侍
 0.0150    16    7   4  度 支 尚 書
 0.0150    16    7   4  州 刺 史 生
 0.0148    21    5   3  長 鿡 尺
 0.0148    21    5   3  部 侍 郎
 0.0148    21    5   3  漢 書 曰
 0.0141    20    5   3  鿡 年 詔
 0.0141    15    7   4  荆 州 刺 史
 0.0141    12    9   5  案 唐 世 系 表
 0.0141    10   11   6  僭 號 改 元 者 鿡
 0.0132    14    7   4  梁 簡 文 帝
 0.0132    14    7   4  吏 部 侍 郎
 0.0132     8   13   7  第 鿡 卷 歲 時 部 鿡
 0.0129    11    9   5  為 吏 部 尚 書
 0.0129     5   21  11  第 鿡 卷 帝 王 部 鿡 帝 王 總 載
 0.0127     9   11   6  鿡 年 鿡 月 鿡 日
 0.0127     9   11   6  以 王 父 字 為 氏
 0.0122    13    7   4  鿡 尺 鿡 寸
 0.0120    17    5   3  鿡 月 鿡
 0.0120    17    5   3  鿡 年 不
 0.0117    10    9   5  為 御 史 中 丞
 0.0117    10    9   5  抱 朴 子 外 篇
 0.0115     7   13   7  賦 詠 祖 鿡 言 散 句
 0.0113    12    7   4  鿡 品 以 上
 0.0113    12    7   4  後 漢 書 曰
 0.0113    12    7   4  中 書 門 下
 0.0113     8   11   6  在 位 鿡 年 年 鿡
2 math 118 425624 851248
 0.2895   308    7   4  鿡 分 之 鿡
 0.2136   303    5   3  得 讠 為
 0.2037   289    5   3  鿡 角 形
 0.1988   282    5   3  為 鿡 率
 0.1851   197    7   4  鿡 兩 鿡 錢
 0.1776   252    5   3  行 鿡 步
 0.1692   240    5   3  之 比 例
 0.1530   217    5   3  鿡 平 方
 0.1485   158    7   4  幾 何 法 以
 0.1325   188    5   3  正 方 體
 0.1325   188    5   3  也 設 如
 0.1325   141    7   4  相 減 餘 鿡
 0.1259   134    7   4  鿡 尺 鿡 寸
